url;home
bbc.co.uk/sport/football/womens;True
bbc.co.uk/sport/formula1/2018/results;True
bbc.co.uk/sport/formula1/drivers-world-championship/standings;True
bbc.co.uk/sport/formula1/gossip;True
bbc.co.uk/sport/golf/45676637;False
bbc.co.uk/sport/gymnastics/45868680;False
bbc.co.uk/sport/horse-racing;True
bbc.co.uk/sport/ice-hockey/results;True
bbc.co.uk/sport/olympics/37085511;False
bbc.co.uk/sport/rugby-league/fixtures;True
bbc.co.uk/sport/rugby-league/tables;True
bbc.co.uk/sport/rugby-union/irish;True
bbc.co.uk/sport/rugby-union/results;True
bbc.co.uk/sport/rugby-union/tables;True
bbc.co.uk/sport/rugby-union/welsh;True
bbc.co.uk/sport/tennis/19852821;False
bbc.co.uk/sport/tennis/45462014;False
bbc.co.uk/sport/tennis/order-of-play;True
bbc.co.uk/sport/tennis/results;True
bbc.co.uk/tv/bbcnews;True
bbc.co.uk/tv/bbcthree;True
bbc.com/account;True
bbc.com/account/tv;True
bbc.com/bitesize/guides/zmb9mp3/revision/3;True
bbc.com/food/chefs/nadiya;False
bbc.com/food/recipes/beef_hotpot_59730;False
bbc.com/food/recipes/search;True
bbc.com/food/recipes/sugar-free_carrot_cake_71797;False
bbc.com/food/seasons/october?ns_mchannel=email&ns_source=pan_newsletter&ns_campaign=PANUK_NLT_40_ENG3Months_DrowningInPlastic&ns_linkname=bbcfood_seasonalrecipesoctober2018food_food&ns_fee=0;True
bbc.com/news/entertainment_and_arts;True
bbc.com/news/uk-48320121;False
bbc.com/news/world;True
bbc.com/news/world/asia;True
bbc.com/news/world/asia/china;True
bbc.com/sport/cricket;True
bbc.com/sport/cricket/45747708;False
bbc.com/sport/football/teams/leicester-city;True
berliner-kurier.de/berlin/polizei-und-justiz;True
berliner-kurier.de/sport/hertha-bsc/freundschafts-trip-hertha-ohne-neun-ab-in-die-usa-32565448;False
bfmbusiness.bfmtv.com;True
bfmbusiness.bfmtv.com/search?q=vie+mmo&filter=0;False
bfmtv.com/s;True
bfmtv.com/societe;True
bfmtv.com/societe/finistere-2;True
biallo.sueddeutsche.de/tz/sueddeutsche2/Soziales/ALG2rechner.php;True
bild.de/bild-plus/ratgeber/kind-familie/kind-und-familie/alleingeburt-zwillinge-diese-frau-bringt-babys-ohne-hilfe-zur-welt-61818174,view=conversionToLogin.bild.html;False
bild.de/bild-plus/regional/dresden/dresden-aktuell/bautzen-bild-fand-den-besitzer-des-nazi-kennzeichens-61860426.bild.html;False
bild.de/bild-plus/regional/frankfurt/frankfurt-aktuell/darmstadt-ex-haeftling-packt-aus-so-kriegst-du-im-knast-alles-62014246,la=de.bild.html;False
bild.de/bild-plus/sport/fussball/fussball/1-fc-kaiserslautern-finanzielle-rettung-naht-milliardaer-steigt-ein-61590434,view=conversionToLogin.bild.html;False
